"","date_confirmation","daily_notification","state"
"1",2020-01-25,0,"ACT"
"2",2020-01-26,0,"ACT"
"3",2020-01-27,0,"ACT"
"4",2020-01-28,0,"ACT"
"5",2020-01-29,0,"ACT"
"6",2020-01-30,0,"ACT"
"7",2020-01-31,0,"ACT"
"8",2020-02-01,0,"ACT"
"9",2020-02-02,0,"ACT"
"10",2020-02-03,0,"ACT"
"11",2020-02-04,0,"ACT"
"12",2020-02-05,0,"ACT"
"13",2020-02-06,0,"ACT"
"14",2020-02-07,0,"ACT"
"15",2020-02-08,0,"ACT"
"16",2020-02-09,0,"ACT"
"17",2020-02-10,0,"ACT"
"18",2020-02-11,0,"ACT"
"19",2020-02-12,0,"ACT"
"20",2020-02-13,0,"ACT"
"21",2020-02-14,0,"ACT"
"22",2020-02-15,0,"ACT"
"23",2020-02-16,0,"ACT"
"24",2020-02-17,0,"ACT"
"25",2020-02-18,0,"ACT"
"26",2020-02-19,0,"ACT"
"27",2020-02-20,0,"ACT"
"28",2020-02-21,0,"ACT"
"29",2020-02-22,0,"ACT"
"30",2020-02-23,0,"ACT"
"31",2020-02-24,0,"ACT"
"32",2020-02-25,0,"ACT"
"33",2020-02-26,0,"ACT"
"34",2020-02-27,0,"ACT"
"35",2020-02-28,0,"ACT"
"36",2020-02-29,0,"ACT"
"37",2020-03-01,0,"ACT"
"38",2020-03-02,0,"ACT"
"39",2020-03-03,0,"ACT"
"40",2020-03-04,0,"ACT"
"41",2020-03-05,0,"ACT"
"42",2020-03-06,0,"ACT"
"43",2020-03-07,0,"ACT"
"44",2020-03-08,0,"ACT"
"45",2020-03-09,0,"ACT"
"46",2020-03-10,0,"ACT"
"47",2020-03-11,0,"ACT"
"48",2020-03-12,1,"ACT"
"49",2020-03-13,0,"ACT"
"50",2020-03-14,0,"ACT"
"51",2020-03-15,0,"ACT"
"52",2020-03-16,1,"ACT"
"53",2020-03-17,0,"ACT"
"54",2020-03-18,1,"ACT"
"55",2020-03-19,1,"ACT"
"56",2020-03-20,2,"ACT"
"57",2020-03-21,3,"ACT"
"58",2020-03-22,10,"ACT"
"59",2020-03-23,13,"ACT"
"60",2020-03-24,7,"ACT"
"61",2020-03-25,5,"ACT"
"62",2020-03-26,9,"ACT"
"63",2020-03-27,9,"ACT"
"64",2020-03-28,9,"ACT"
"65",2020-03-29,7,"ACT"
"66",2020-03-30,1,"ACT"
"67",2020-03-31,3,"ACT"
"68",2020-04-01,5,"ACT"
"69",2020-04-02,4,"ACT"
"70",2020-04-03,4,"ACT"
"71",2020-04-04,2,"ACT"
"72",2020-04-05,3,"ACT"
"73",2020-04-06,0,"ACT"
"74",2020-04-07,1,"ACT"
"75",2020-04-08,2,"ACT"
"76",2020-04-09,1,"ACT"
"77",2020-04-10,3,"ACT"
"78",2020-04-11,0,"ACT"
"79",2020-04-12,0,"ACT"
"80",2020-04-13,1,"ACT"
"81",2020-04-14,0,"ACT"
"82",2020-04-15,0,"ACT"
"83",2020-04-16,0,"ACT"
"84",2020-04-17,0,"ACT"
"85",2020-04-18,0,"ACT"
"86",2020-04-19,0,"ACT"
"87",2020-04-20,1,"ACT"
"88",2020-04-21,0,"ACT"
"89",2020-04-22,0,"ACT"
"90",2020-04-23,0,"ACT"
"91",2020-04-24,1,"ACT"
"92",2020-04-25,1,"ACT"
"93",2020-04-26,0,"ACT"
"94",2020-04-27,0,"ACT"
"95",2020-04-28,0,"ACT"
"96",2020-04-29,0,"ACT"
"97",2020-04-30,0,"ACT"
"98",2020-05-01,0,"ACT"
"99",2020-05-02,0,"ACT"
"100",2020-05-03,0,"ACT"
"101",2020-05-04,1,"ACT"
"102",2020-05-05,0,"ACT"
"103",2020-05-06,0,"ACT"
"104",2020-05-07,0,"ACT"
"105",2020-05-08,0,"ACT"
"106",2020-05-09,0,"ACT"
"107",2020-05-10,0,"ACT"
"108",2020-05-11,0,"ACT"
"109",2020-05-12,0,"ACT"
"110",2020-05-13,0,"ACT"
"111",2020-05-14,0,"ACT"
"112",2020-05-15,0,"ACT"
"113",2020-05-16,0,"ACT"
"114",2020-05-17,0,"ACT"
"115",2020-05-18,0,"ACT"
"116",2020-05-19,0,"ACT"
"117",2020-05-20,0,"ACT"
"118",2020-05-21,0,"ACT"
"119",2020-05-22,0,"ACT"
"120",2020-05-23,0,"ACT"
"121",2020-05-24,0,"ACT"
"122",2020-05-25,0,"ACT"
"123",2020-05-26,0,"ACT"
"124",2020-05-27,0,"ACT"
"125",2020-05-28,0,"ACT"
"126",2020-05-29,0,"ACT"
"127",2020-05-30,0,"ACT"
"128",2020-05-31,0,"ACT"
"129",2020-06-01,0,"ACT"
